id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10
17964185-17964185_analysis_0	7	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_0	7	0	3	0	0	0	0	0	0	0
17964741-17964741_analysis_1	4	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_2	3	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_3	2	0	0	0	0	0	0	0	0	0
17964741-17964741_analysis_4	0	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_0	8	0	1	0	0	0	0	0	0	0
18064585-18064585_analysis_1	4	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_2	0	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_3	0	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_4	3	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_5	4	0	0	0	0	0	0	0	0	0
18064585-18064585_analysis_6	2	0	0	0	0	0	0	0	0	0
18187342-18187342_analysis_0	0	0	1	0	0	0	0	0	0	0
18276163-18276163_analysis_0	10	0	3	0	1	0	0	0	0	0
18276163-18276163_analysis_1	8	0	0	0	0	0	0	0	0	0
18276163-18276163_analysis_2	2	0	0	0	0	0	0	0	0	0
18276163-18276163_analysis_3	4	0	0	0	0	0	0	0	0	0
18276163-18276163_analysis_4	2	0	0	0	0	0	0	0	0	0
18276163-18276163_analysis_5	1	0	0	0	0	0	0	0	0	0
18431500-18431500_analysis_0	2	2	2	0	0	0	0	0	0	0
18431500-18431500_analysis_1	0	1	2	0	0	0	0	0	0	0
18431500-18431500_analysis_2	2	1	1	0	0	0	0	0	0	0
18431500-18431500_analysis_3	2	1	0	0	0	0	0	0	0	0
18431500-18431500_analysis_4	0	0	1	0	0	0	0	0	0	0
18431500-18431500_analysis_5	0	0	1	0	0	0	0	0	0	0
18486489-18486489_analysis_0	0	0	1	0	0	0	0	0	0	0
18486489-18486489_analysis_1	0	1	2	0	0	0	0	0	0	0
18486489-18486489_analysis_2	4	0	3	0	0	0	0	0	0	0
18486489-18486489_analysis_3	0	0	1	0	0	0	0	0	0	0
18486489-18486489_analysis_5	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_6	4	1	2	0	0	0	0	0	0	0
18486489-18486489_analysis_7	0	0	1	0	0	0	0	0	0	0
18486489-18486489_analysis_8	0	0	0	0	0	0	0	0	0	0
18486489-18486489_analysis_9	11	1	2	0	0	0	0	0	0	0
18486491-18486491_analysis_0	7	1	1	0	0	0	0	0	0	0
18486491-18486491_analysis_1	7	0	1	0	0	0	0	0	0	0
18486491-18486491_analysis_2	0	0	0	0	0	0	0	0	0	0
18486491-18486491_analysis_3	2	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_1	2	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_10	0	0	2	0	0	0	0	0	0	0
18501639-18501639_analysis_11	1	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_12	1	1	2	0	0	0	0	0	0	0
18501639-18501639_analysis_13	1	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_3	0	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_5	1	0	0	0	0	0	0	0	0	0
18501639-18501639_analysis_6	2	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_0	9	1	1	0	0	0	0	0	0	0
18514546-18514546_analysis_1	7	0	1	0	0	0	0	0	0	0
18514546-18514546_analysis_2	4	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_3	2	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_4	2	0	0	0	0	0	0	0	0	0
18514546-18514546_analysis_5	1	0	0	0	0	0	0	0	0	0
18537114-18537114_analysis_0	3	0	1	0	0	0	0	0	0	0
18537114-18537114_analysis_1	2	0	1	0	0	0	0	0	0	0
18537114-18537114_analysis_2	3	0	1	0	0	0	0	0	0	0
18587523-18587523_analysis_0	10	0	3	0	0	0	0	0	0	0
18587523-18587523_analysis_1	17	0	0	0	0	0	0	0	0	0
18587523-18587523_analysis_2	0	0	0	0	0	0	0	0	0	0
18587523-18587523_analysis_3	4	0	0	0	0	0	0	0	0	0
18603608-18603608_analysis_0	3	0	1	0	0	0	0	0	0	0
18603608-18603608_analysis_1	1	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_0	4	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_1	4	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_10	5	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_11	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_12	1	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_13	2	1	1	0	0	0	0	0	0	0
18633788-18633788_analysis_2	3	0	1	0	1	0	0	0	0	0
18633788-18633788_analysis_3	0	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_4	0	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_5	1	0	0	0	0	0	0	0	0	0
18633788-18633788_analysis_8	0	0	1	0	0	0	0	0	0	0
18633788-18633788_analysis_9	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_0	5	0	1	0	0	0	0	0	0	0
18633834-18633834_analysis_1	4	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_2	0	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_3	3	0	0	0	0	0	0	0	0	0
18633834-18633834_analysis_4	7	0	1	0	0	0	0	0	0	0
18633834-18633834_analysis_5	0	0	0	0	0	0	0	0	0	0
18633845-18633845_analysis_0	2	2	0	0	0	0	0	0	0	0
18633846-18633846_analysis_0	5	1	0	0	0	0	0	0	0	0
18633846-18633846_analysis_1	3	0	0	0	0	0	0	0	0	0
18633846-18633846_analysis_2	0	0	0	0	0	0	0	0	0	0
18633856-18633856_analysis_0	11	0	1	0	0	0	0	0	0	0
18633856-18633856_analysis_1	0	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_0	1	0	1	0	0	0	0	0	0	0
18778781-18778781_analysis_1	6	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_2	0	0	1	0	0	0	0	0	0	0
18778781-18778781_analysis_3	1	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_4	1	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_5	1	0	0	0	0	0	0	0	0	0
18778781-18778781_analysis_6	1	0	1	0	0	0	0	0	0	0
18781590-18781590_analysis_0	13	0	0	0	0	1	1	0	0	0
18781590-18781590_analysis_1	5	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_10	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_11	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_12	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_13	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_14	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_15	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_16	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_17	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_18	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_19	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_20	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_21	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_3	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_4	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_5	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_6	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_7	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_8	3	0	0	1	0	0	0	0	0	0
18781590-18781590_analysis_9	3	0	0	1	0	0	0	0	0	0
18783371-18783371_analysis_0	7	0	1	0	0	0	0	0	0	0
18809234-18809234_analysis_0	2	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_1	3	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_2	2	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_3	1	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_4	0	0	1	0	0	0	0	0	0	0
18809234-18809234_analysis_5	3	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_6	2	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_7	3	0	0	0	0	0	0	0	0	0
18809234-18809234_analysis_8	2	0	0	0	0	0	0	0	0	0
18958158-18958158_analysis_0	3	0	0	0	0	0	0	0	0	0
18958158-18958158_analysis_1	3	0	0	0	0	0	0	0	0	0
18958158-18958158_analysis_2	0	0	0	0	0	0	0	0	0	0
18958158-18958158_analysis_3	5	0	1	0	0	0	0	0	0	0
18958158-18958158_analysis_4	7	0	1	0	0	0	0	0	0	0
18958158-18958158_analysis_5	1	0	1	0	0	0	0	0	0	0
19048432-19048432_analysis_0	3	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_1	1	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_2	0	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_3	1	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_4	1	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_5	1	0	0	0	0	0	0	0	0	0
19048432-19048432_analysis_6	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_0	2	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_1	0	0	0	0	0	0	0	0	0	0
19107754-19107754_analysis_2	1	0	1	0	0	0	0	0	0	0
19107754-19107754_analysis_3	5	0	2	0	0	0	0	0	0	0
19107754-19107754_analysis_4	1	0	1	0	0	0	0	0	0	0
19107754-19107754_analysis_5	3	0	1	0	0	0	0	0	0	0
19186163-19186163_analysis_0	2	0	1	0	0	0	1	0	0	0
19186163-19186163_analysis_1	2	0	0	0	0	0	0	0	0	0
19186163-19186163_analysis_2	2	0	3	0	0	0	0	0	0	0
19186163-19186163_analysis_3	0	0	1	0	0	0	0	0	0	0
19186163-19186163_analysis_4	2	0	0	0	0	0	0	0	0	0
19186163-19186163_analysis_5	3	1	1	0	0	0	0	0	0	0
19186163-19186163_analysis_6	0	0	4	0	0	0	0	0	0	0
19186163-19186163_analysis_7	0	0	2	0	0	0	0	0	0	0
19186163-19186163_analysis_8	0	3	0	0	0	0	0	0	0	0
19186163-19186163_analysis_9	0	3	0	0	0	0	0	0	0	0
19347874-19347874_analysis_0	9	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_1	4	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_2	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_3	0	0	0	0	0	0	0	0	0	0
19347874-19347874_analysis_4	2	0	0	0	0	0	0	0	0	0
19428413-19428413_analysis_0	11	0	0	0	1	0	0	0	0	1
19428413-19428413_analysis_1	7	0	0	0	0	0	0	0	0	0
19428413-19428413_analysis_2	4	0	0	0	0	0	0	0	0	0
19428413-19428413_analysis_3	2	0	0	0	0	0	0	0	0	0
19428413-19428413_analysis_4	0	0	1	0	0	0	0	0	0	0
19428413-19428413_analysis_5	1	0	0	0	0	0	0	0	0	0
19428413-19428413_analysis_6	1	0	0	0	0	0	0	0	0	0
19428413-19428413_analysis_7	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_0	10	0	4	0	0	1	0	0	0	0
19439183-19439183_analysis_1	9	0	3	0	0	0	0	0	0	0
19439183-19439183_analysis_3	0	0	0	0	0	0	0	0	0	0
19439183-19439183_analysis_4	9	0	2	0	0	0	0	0	0	0
19439183-19439183_analysis_5	2	0	1	0	0	0	0	0	0	0
19439183-19439183_analysis_6	2	0	1	0	0	0	0	0	0	0
19439183-19439183_analysis_7	1	0	2	0	0	0	0	0	0	0
19439183-19439183_analysis_8	3	0	0	0	0	0	0	0	0	0
19559343-19559343_analysis_0	2	1	1	0	0	0	0	0	0	0
19559343-19559343_analysis_1	1	1	1	0	0	0	0	0	0	0
19559343-19559343_analysis_2	0	0	0	0	0	0	0	0	0	0
19562629-19562629_analysis_0	1	0	1	0	0	0	0	0	0	0
19562629-19562629_analysis_1	0	0	0	0	0	0	0	0	0	0
19562629-19562629_analysis_2	1	1	0	0	0	0	0	0	0	0
19594509-19594509_analysis_0	9	0	0	0	0	0	0	0	0	0
19594509-19594509_analysis_1	0	0	1	0	0	0	0	0	0	0
19594509-19594509_analysis_2	2	0	0	0	0	0	0	0	0	0
19620621-19620621_analysis_0	0	0	0	0	0	0	0	0	0	0
19620621-19620621_analysis_2	1	1	1	0	0	0	0	0	0	0
19620621-19620621_analysis_3	2	0	0	0	0	0	0	0	0	0
19620621-19620621_analysis_4	1	0	0	0	0	0	0	0	0	0
19620621-19620621_analysis_5	2	0	0	0	0	0	0	0	0	0
19630891-19630891_analysis_0	14	0	3	0	0	0	0	0	0	0
19630891-19630891_analysis_1	17	1	4	0	0	0	0	0	0	0
19630891-19630891_analysis_2	14	1	4	0	0	0	0	0	0	0
19630891-19630891_analysis_3	13	0	5	0	0	0	0	0	0	0
19630891-19630891_analysis_4	13	1	4	0	0	0	0	0	0	0
19630891-19630891_analysis_5	9	1	4	0	0	0	0	0	0	0
19630891-19630891_analysis_6	12	1	4	0	0	0	0	0	0	0
19630891-19630891_analysis_7	13	1	3	0	0	0	0	0	0	0
19632283-19632283_analysis_0	0	0	1	0	0	0	0	0	0	0
19632283-19632283_analysis_1	1	0	0	0	0	0	0	0	0	0
19632283-19632283_analysis_2	1	0	0	0	0	0	0	0	0	0
19632283-19632283_analysis_3	1	0	0	0	0	0	0	0	0	0
19632283-19632283_analysis_4	0	0	0	0	0	0	0	0	0	0
19632283-19632283_analysis_5	0	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_0	2	1	0	0	0	0	0	0	0	0
19733672-19733672_analysis_1	1	1	2	0	0	0	0	0	0	0
19733672-19733672_analysis_2	7	1	0	0	0	0	0	0	0	0
19733672-19733672_analysis_3	8	0	0	0	0	0	0	0	0	0
19733672-19733672_analysis_4	4	1	0	0	0	0	0	0	0	0
19733672-19733672_analysis_5	2	1	1	0	0	0	0	0	0	0
19747929-19747929_analysis_0	3	0	4	0	0	0	0	0	0	0
19747929-19747929_analysis_1	1	1	0	0	0	0	0	0	0	0
19747929-19747929_analysis_2	3	0	5	0	1	0	0	0	0	0
19747929-19747929_analysis_3	0	0	0	0	0	0	0	0	0	0
19826471-19826471_analysis_0	5	0	1	0	0	0	0	0	0	0
19826471-19826471_analysis_1	1	0	0	0	0	0	0	0	0	0
19826471-19826471_analysis_2	1	0	1	0	0	0	0	0	0	0
19826471-19826471_analysis_3	2	0	1	0	0	0	0	0	0	0
19826471-19826471_analysis_4	0	0	0	0	0	0	0	0	0	0
19826471-19826471_analysis_5	2	0	1	0	0	0	0	0	0	0
19826471-19826471_analysis_6	0	0	1	0	0	0	0	0	0	0
19937724-19937724_analysis_0	7	0	0	0	0	0	0	0	0	0
19944083-19944083_analysis_0	2	0	2	0	0	0	0	0	0	0
19944083-19944083_analysis_1	0	0	0	0	0	0	0	0	0	0
19944083-19944083_analysis_2	5	1	1	0	0	0	0	0	0	0
20045478-20045478_analysis_0	4	2	1	0	0	0	0	0	0	0
20045478-20045478_analysis_1	7	1	4	0	0	0	0	0	0	0
20045478-20045478_analysis_2	2	0	0	0	0	0	0	0	0	0
20045478-20045478_analysis_3	2	1	0	0	0	0	0	0	0	0
20056152-20056152_analysis_0	1	0	0	0	0	0	0	0	0	0
20056152-20056152_analysis_1	7	0	1	0	0	0	0	0	0	0
20096792-20096792_analysis_0	11	0	3	0	0	0	0	0	0	0
20096792-20096792_analysis_1	1	0	0	0	0	0	0	0	0	0
20096792-20096792_analysis_2	7	0	1	0	0	0	0	0	0	0
20119878-20119878_analysis_0	2	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_1	1	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_2	0	0	0	0	0	0	0	0	0	0
20119878-20119878_analysis_3	0	0	0	0	0	0	0	0	0	0
20188182-20188182_analysis_0	4	0	3	0	0	0	0	0	0	0
20188190-20188190_analysis_0	3	0	1	0	1	0	0	0	0	0
20188190-20188190_analysis_1	4	0	1	0	1	0	0	0	0	0
20188190-20188190_analysis_2	4	1	2	0	0	0	0	0	0	0
20188190-20188190_analysis_3	0	0	0	0	0	0	0	0	0	0
20188190-20188190_analysis_4	8	1	2	0	0	0	0	0	0	0
20188190-20188190_analysis_5	1	0	1	0	0	0	0	0	0	0
20188190-20188190_analysis_6	2	0	2	0	0	0	0	0	0	0
20226769-20226769_analysis_0	1	1	1	0	0	0	0	0	0	0
20231838-20231838_analysis_0	8	1	2	0	0	0	0	0	0	0
20231838-20231838_analysis_2	1	0	0	0	0	0	0	0	0	0
20231838-20231838_analysis_3	1	0	0	0	0	0	0	0	0	0
20520767-20520767_analysis_0	13	2	1	0	0	0	0	0	0	0
20520767-20520767_analysis_1	2	0	0	0	0	0	0	0	0	0
20520767-20520767_analysis_2	3	0	1	0	0	0	0	0	0	0
20520767-20520767_analysis_3	2	0	0	0	0	0	0	0	0	0
20520767-20520767_analysis_4	3	0	1	0	0	0	0	0	0	0
20520767-20520767_analysis_5	1	0	0	0	0	0	0	0	0	0
20520767-20520767_analysis_6	1	0	0	0	0	0	0	0	0	0
20560820-20560820_analysis_0	21	0	2	0	0	0	0	0	0	0
20560820-20560820_analysis_1	9	0	1	0	1	0	0	0	0	0
20560820-20560820_analysis_10	1	1	0	0	0	0	0	0	0	0
20560820-20560820_analysis_11	3	0	1	0	0	0	0	0	0	0
20560820-20560820_analysis_2	20	0	6	0	2	0	0	0	0	0
20560820-20560820_analysis_3	13	0	1	0	2	0	0	0	0	0
20560820-20560820_analysis_4	6	0	2	0	2	0	0	0	0	0
20560820-20560820_analysis_5	8	0	0	0	0	0	0	0	0	0
20560820-20560820_analysis_6	13	0	1	0	0	0	0	0	0	0
20560820-20560820_analysis_7	5	1	0	0	0	0	0	0	0	0
20560820-20560820_analysis_8	6	0	3	0	0	0	0	0	0	0
20560820-20560820_analysis_9	9	1	0	0	0	0	0	0	0	0
20570742-20570742_analysis_0	4	0	2	0	0	0	0	0	0	0
20570742-20570742_analysis_1	2	0	0	0	0	0	0	0	0	0
20570742-20570742_analysis_2	7	1	3	0	0	0	0	0	0	0
20570742-20570742_analysis_3	4	1	0	0	1	0	0	0	0	0
20600991-20600991_analysis_0	2	0	1	0	0	0	0	0	0	0
20600991-20600991_analysis_1	2	0	1	0	0	0	0	0	0	0
20600991-20600991_analysis_2	0	0	1	0	0	0	0	0	0	0
20600991-20600991_analysis_3	4	0	0	0	0	0	0	0	0	0
20600991-20600991_analysis_4	2	0	0	0	0	0	0	0	0	0
20600991-20600991_analysis_5	1	0	0	0	0	0	0	0	0	0
20600991-20600991_analysis_6	4	0	0	0	0	0	0	0	0	0
20600991-20600991_analysis_7	3	0	1	0	0	0	0	0	0	0
